  measurred_temp        kalman_gain     estimate_of_value       error_in_estimate
  30.42                 0.33            31.47                   1.33
  32.72                 0.25            31.78                   1.00
  31.27                 0.20            31.68                   0.80
  32.37                 0.17            31.80                   0.67
  34.00                 0.14            32.11                   0.57
  31.55                 0.12            32.04                   0.50
  34.30                 0.11            32.29                   0.44
  31.49                 0.10            32.21                   0.40
  33.71                 0.09            32.35                   0.36
  33.96                 0.08            32.48                   0.33

Final estimate of tempararue : 32.48
